### BSdrift_n40_M10000_v0.5_mu-0.8_S010_std0.1_tmax1
i t1 x1 t2 x2 t3 x3
1 0.1 9.6 0.5 6.975 1 4.4
2 0.1 9.35 0.5 7.2 1 4.475
3 0.1 9.375 0.5 6.5 1 4.4
4 0.1 9.525 0.5 6.95 1 4.8
5 0.1 9.125 0.5 6.75 1 4.325
6 0.1 9.6 0.5 7.075 1 4.675
7 0.1 9.525 0.5 7.325 1 4.45
8 0.1 8.65 0.5 6.35 1 4.35
9 0.1 9 0.5 6.675 1 4.35
10 0.1 8.6 0.5 5.85 1 4.5
11 0.1 9.3 0.5 6.8 1 4.3
12 0.1 9.725 0.5 6.95 1 4.475
13 0.1 8.825 0.5 6.675 1 4.6
14 0.1 9.325 0.5 6.775 1 4.175
15 0.1 9.2 0.5 5.875 1 3.775
16 0.1 8.775 0.5 6 1 4.275
17 0.1 9.025 0.5 6.575 1 4.6
18 0.1 9.625 0.5 6.875 1 4.65
19 0.1 9.4 0.5 6.45 1 3.9
20 0.1 8.975 0.5 6.3 1 4.7
21 0.1 9.15 0.5 6.625 1 4.5
22 0.1 9.4 0.5 7.075 1 4.5
23 0.1 9.45 0.5 6.475 1 4.05
24 0.1 9.375 0.5 7.075 1 4.75
25 0.1 9.225 0.5 6.275 1 4.3
26 0.1 9.1 0.5 5.525 1 3.975
27 0.1 9.425 0.5 6.9 1 4.9
28 0.1 9.325 0.5 7.45 1 4.45
29 0.1 8.8 0.5 6.875 1 4.65
30 0.1 9.375 0.5 6.85 1 4.4
31 0.1 9.35 0.5 6.25 1 3.775
32 0.1 9.475 0.5 6.825 1 4.125
33 0.1 9.475 0.5 6.85 1 4.375
34 0.1 9.25 0.5 5.925 1 3.675
35 0.1 8.875 0.5 5.9 1 3.875
36 0.1 9.95 0.5 7.225 1 4.925
37 0.1 9.35 0.5 6.4 1 4.525
38 0.1 9.225 0.5 6.475 1 4.65
39 0.1 9.775 0.5 6.95 1 4.65
40 0.1 9.05 0.5 6.4 1 4.35
41 0.1 9.175 0.5 7.625 1 5.125
42 0.1 9.125 0.5 6.775 1 5.1
43 0.1 9.025 0.5 6.15 1 3.8
44 0.1 8.95 0.5 6.25 1 4.175
45 0.1 9.375 0.5 6.3 1 4.15
46 0.1 9.7 0.5 6.75 1 4.575
47 0.1 9.25 0.5 7.225 1 4.575
48 0.1 8.85 0.5 7 1 4.7
49 0.1 8.95 0.5 6.25 1 4.225
50 0.1 9.2 0.5 6.2 1 4.075
51 0.1 9.025 0.5 6.675 1 4.675
52 0.1 9.25 0.5 6.425 1 4.55
53 0.1 8.5 0.5 6.15 1 3.8
54 0.1 9.525 0.5 6.55 1 3.925
55 0.1 9.225 0.5 6.475 1 4.6
56 0.1 8.55 0.5 5.95 1 4.025
57 0.1 9.125 0.5 7.5 1 4.575
58 0.1 9.15 0.5 6.825 1 4.8
59 0.1 9.525 0.5 6.8 1 4.575
60 0.1 8.675 0.5 6.15 1 3.7
61 0.1 9.6 0.5 7.375 1 4.95
62 0.1 9.325 0.5 6.55 1 4.375
63 0.1 9.1 0.5 7.2 1 4.775
64 0.1 9.675 0.5 8 1 5.175
65 0.1 9.2 0.5 6.825 1 5.25
66 0.1 9.475 0.5 7 1 3.85
67 0.1 9.05 0.5 6.5 1 4.425
68 0.1 8.975 0.5 6.975 1 4.7
69 0.1 9.65 0.5 6.75 1 4
70 0.1 9.525 0.5 6.975 1 5.025
71 0.1 9.55 0.5 6.5 1 4.325
72 0.1 8.8 0.5 5.75 1 3.775
73 0.1 9.125 0.5 7.025 1 4.775
74 0.1 9.55 0.5 7 1 4.45
75 0.1 9.5 0.5 7.2 1 4.65
76 0.1 9.55 0.5 6.475 1 4.975
77 0.1 9.475 0.5 6.05 1 3.95
78 0.1 9.425 0.5 7.275 1 4.85
79 0.1 9.075 0.5 6.35 1 4.775
80 0.1 9.75 0.5 7.4 1 4.875
81 0.1 9.35 0.5 7.225 1 5.05
