### BSdrift_n40_M10000_v0.5_mu0_S010_std0.1_tmax1
i t1 x1 t2 x2 t3 x3
1 0.1 9.825 0.5 10.775 1 12.7
2 0.1 10.1 0.5 10.95 1 11.1
3 0.1 9.825 0.5 10.525 1 11.6
4 0.1 9.775 0.5 9.175 1 9.525
5 0.1 10.075 0.5 9.375 1 9.55
6 0.1 9.45 0.5 9.65 1 10.6
7 0.1 9.775 0.5 9.475 1 9.175
8 0.1 9.85 0.5 9.65 1 9.15
9 0.1 9.675 0.5 10.125 1 9.625
10 0.1 9.75 0.5 9.675 1 10.675
11 0.1 10.075 0.5 10.8 1 10.35
12 0.1 9.95 0.5 10.175 1 10.05
13 0.1 10.05 0.5 10.775 1 11.7
14 0.1 9.475 0.5 8.225 1 8.85
15 0.1 9.75 0.5 10.525 1 10.775
16 0.1 10.3 0.5 11.55 1 12.45
17 0.1 9.4 0.5 8.45 1 9.075
18 0.1 10.3 0.5 10.675 1 10.025
19 0.1 10.2 0.5 9.925 1 11.125
20 0.1 9.5 0.5 10.25 1 10.325
21 0.1 9.825 0.5 9 1 8.75
22 0.1 10.075 0.5 10.25 1 11
23 0.1 10.15 0.5 9.85 1 9.5
24 0.1 10.575 0.5 9.9 1 11.075
25 0.1 9.95 0.5 9.9 1 9.625
26 0.1 9.7 0.5 10.575 1 11.75
27 0.1 10.275 0.5 12.05 1 12.15
28 0.1 9.725 0.5 10.025 1 10.375
29 0.1 9.95 0.5 9.875 1 9.8
30 0.1 9.925 0.5 10.725 1 10.45
31 0.1 10.1 0.5 10.3 1 11.025
32 0.1 9.725 0.5 9.925 1 10.475
33 0.1 9.625 0.5 8.625 1 8.4
34 0.1 9.9 0.5 10.125 1 9
35 0.1 10.475 0.5 10.15 1 11.025
36 0.1 10.45 0.5 11.5 1 12.025
37 0.1 9.95 0.5 10.05 1 9.975
38 0.1 10.65 0.5 11.25 1 11.8
39 0.1 9.925 0.5 9.025 1 9.25
40 0.1 10.1 0.5 9.875 1 8.95
41 0.1 10.125 0.5 10.825 1 10.875
42 0.1 10.35 0.5 10.125 1 9.375
43 0.1 9.675 0.5 10.025 1 10.1
44 0.1 10.025 0.5 10.5 1 9.6
45 0.1 9.675 0.5 10.075 1 9.6
46 0.1 10 0.5 9.825 1 10.4
47 0.1 10.025 0.5 11.05 1 10.15
48 0.1 10 0.5 9.325 1 9.875
49 0.1 10.025 0.5 10.625 1 9.65
50 0.1 9.425 0.5 10.775 1 10.225
51 0.1 9.225 0.5 9.525 1 9.25
52 0.1 10.425 0.5 10.025 1 11.775
53 0.1 10.475 0.5 10.4 1 10.775
54 0.1 9.975 0.5 9.875 1 10.2
55 0.1 10.325 0.5 9.775 1 9.35
56 0.1 9.875 0.5 10.7 1 11.3
57 0.1 10.375 0.5 11.45 1 10.575
58 0.1 10.225 0.5 9.7 1 10.15
59 0.1 9.625 0.5 9.3 1 10.025
60 0.1 9.85 0.5 10.225 1 10.725
61 0.1 9.95 0.5 9.525 1 8.625
62 0.1 10.375 0.5 10.05 1 9.7
63 0.1 10.2 0.5 10.95 1 11.3
64 0.1 9.7 0.5 9.4 1 8.75
65 0.1 9.85 0.5 9.3 1 10.45
66 0.1 10.125 0.5 9.8 1 9.475
67 0.1 10.35 0.5 10.175 1 10
68 0.1 9.975 0.5 10.1 1 9.1
69 0.1 10.1 0.5 9 1 8.9
70 0.1 10.1 0.5 10.55 1 10.275
71 0.1 10.2 0.5 11.275 1 11.025
72 0.1 10.475 0.5 10.075 1 9.225
73 0.1 9.625 0.5 9.9 1 10.5
74 0.1 9.925 0.5 10.1 1 9.45
75 0.1 10.025 0.5 9.075 1 9
76 0.1 9.65 0.5 9.15 1 8.6
77 0.1 10.225 0.5 10.125 1 9.25
78 0.1 9.9 0.5 10.025 1 10.35
79 0.1 10.175 0.5 10.55 1 11.625
80 0.1 10.425 0.5 10.55 1 11.275
81 0.1 10.25 0.5 9.95 1 8.9
82 0.1 10.075 0.5 10.575 1 10.025
83 0.1 10.25 0.5 11.375 1 12.425
84 0.1 10.5 0.5 11.35 1 12.575
85 0.1 9.925 0.5 10.35 1 11.05
86 0.1 9.875 0.5 9.525 1 10.125
87 0.1 10.2 0.5 9.6 1 9.95
88 0.1 10.275 0.5 10.725 1 10.525
89 0.1 10.05 0.5 9.75 1 10.9
90 0.1 10 0.5 10.775 1 11.175
91 0.1 10.7 0.5 10.65 1 11.25
92 0.1 10.05 0.5 9.6 1 10.7
93 0.1 10.325 0.5 10.875 1 9.85
94 0.1 9.8 0.5 10.05 1 10.65
95 0.1 9.95 0.5 10.775 1 10.8
96 0.1 10.025 0.5 11.075 1 10.45
97 0.1 10.25 0.5 9.575 1 9.95
98 0.1 10.5 0.5 10.45 1 9.45
99 0.1 10.025 0.5 10.8 1 10.575
100 0.1 10.125 0.5 10.325 1 11
101 0.1 10.425 0.5 10.8 1 10.875
102 0.1 10.575 0.5 9.8 1 10.75
103 0.1 10.7 0.5 11.2 1 11.275
104 0.1 10.725 0.5 11.9 1 11.375
105 0.1 9.825 0.5 10.375 1 9.2
106 0.1 9.95 0.5 8.675 1 8.225
107 0.1 9.9 0.5 8.825 1 8.35
108 0.1 9.6 0.5 10.625 1 11.025
109 0.1 9.95 0.5 11.125 1 12.2
110 0.1 9.9 0.5 10.25 1 9.825
111 0.1 10.475 0.5 11.875 1 12.35
112 0.1 10.025 0.5 10.35 1 9.575
113 0.1 10.575 0.5 9.525 1 10.175
114 0.1 10.275 0.5 9.55 1 10.65
