### Donsken_stat_n40_M10000_mean5_S050
i t1 x1 t2 x2 t3 x3
1 0.1 50.75 0.5 52.2 1 54.7
2 0.1 50.4 0.5 51.4 1 54.55
3 0.1 50.25 0.5 51.3 1 54.55
4 0.1 50.85 0.5 51.9 1 55.3
5 0.1 50.4 0.5 53.55 1 56.05
6 0.1 50.95 0.5 53 1 55.75
7 0.1 51.25 0.5 53.5 1 56.8
8 0.1 50.15 0.5 51.8 1 53.3
9 0.1 50.25 0.5 53 1 56.45
10 0.1 51.15 0.5 52.45 1 54
11 0.1 50.5 0.5 53.1 1 54.6
12 0.1 50.8 0.5 54 1 56.4
13 0.1 50.5 0.5 52.2 1 56.15
14 0.1 50.85 0.5 52.15 1 55.3
15 0.1 50.5 0.5 52.55 1 55.75
16 0.1 50.65 0.5 53.35 1 56.4
17 0.1 49.95 0.5 53.8 1 56.15
18 0.1 50.3 0.5 51.8 1 53.6
19 0.1 50.45 0.5 54 1 55.2
20 0.1 50.05 0.5 52.1 1 54.85
21 0.1 51.1 0.5 53.35 1 55
22 0.1 50.25 0.5 51 1 52.8
23 0.1 50.8 0.5 54.05 1 57
24 0.1 50.1 0.5 52.15 1 53.75
25 0.1 50.85 0.5 52.15 1 54.4
26 0.1 50.95 0.5 53.3 1 55.25
27 0.1 50.05 0.5 51.95 1 55.25
28 0.1 50.65 0.5 53.1 1 55.75
29 0.1 50.35 0.5 52.65 1 54.5
30 0.1 50.6 0.5 53.3 1 56.05
31 0.1 50.65 0.5 53.2 1 56.25
32 0.1 50.95 0.5 53.3 1 55.8
33 0.1 50.15 0.5 51.95 1 54.1
34 0.1 50.65 0.5 53.25 1 55.75
35 0.1 49.85 0.5 51.8 1 54.85
36 0.1 50.95 0.5 53.05 1 55.8
37 0.1 50.3 0.5 51.9 1 54.2
38 0.1 50.15 0.5 51.65 1 54.75
39 0.1 50.65 0.5 52.65 1 55.7
40 0.1 50.65 0.5 51.2 1 54.35
41 0.1 50.8 0.5 52.4 1 54.9
42 0.1 50.7 0.5 52.5 1 54.05
43 0.1 50.4 0.5 52.15 1 56.05
44 0.1 50.6 0.5 52.1 1 54.65
45 0.1 50.3 0.5 52.15 1 54.7
46 0.1 50.35 0.5 52.75 1 55.95
47 0.1 50.05 0.5 52.1 1 53.45
48 0.1 50.5 0.5 53.25 1 55.65
49 0.1 50.65 0.5 52.25 1 55.15
50 0.1 50.35 0.5 52.95 1 54.3
51 0.1 50.75 0.5 51.25 1 53.85
52 0.1 50.85 0.5 52.7 1 54.8
53 0.1 50.55 0.5 53.8 1 55.75
54 0.1 50.55 0.5 53.05 1 54.9
55 0.1 50.45 0.5 52.15 1 55.15
56 0.1 50.4 0.5 53.2 1 55.4
57 0.1 50.4 0.5 53.5 1 56.2
58 0.1 50.4 0.5 52.4 1 55.2
59 0.1 50.65 0.5 53.9 1 56.6
60 0.1 50.25 0.5 52.05 1 54.2
61 0.1 49.95 0.5 52.2 1 54.05
62 0.1 50.05 0.5 51.95 1 53.35
63 0.1 50.1 0.5 51.25 1 54.45
64 0.1 50.85 0.5 52.7 1 55.55
65 0.1 50.35 0.5 52.4 1 54.75
66 0.1 50.6 0.5 52.2 1 54.95
67 0.1 50.25 0.5 52.6 1 54.5
68 0.1 50.3 0.5 52.7 1 55.35
69 0.1 50.6 0.5 52.9 1 55.05
70 0.1 50.35 0.5 52.6 1 55.25
71 0.1 50.8 0.5 52.75 1 55.7
72 0.1 51.05 0.5 52.85 1 55.2
73 0.1 50.3 0.5 52.6 1 56.05
74 0.1 51.05 0.5 53.1 1 56.05
75 0.1 50.4 0.5 52.8 1 54.25
76 0.1 50.95 0.5 52.2 1 54.65
77 0.1 50.35 0.5 52.3 1 55.05
78 0.1 50.8 0.5 53.25 1 55.5
79 0.1 50.75 0.5 53.7 1 55.6
80 0.1 50.5 0.5 52.3 1 55.15
81 0.1 50.85 0.5 52.65 1 54.7
82 0.1 50.5 0.5 51.15 1 55.2
83 0.1 50.15 0.5 52.5 1 55.75
84 0.1 50.85 0.5 52.6 1 55.5
85 0.1 51.35 0.5 53.35 1 55.55
86 0.1 50.4 0.5 52.1 1 54.95
87 0.1 50.2 0.5 52.6 1 54.5
88 0.1 50.55 0.5 51.3 1 54.15
89 0.1 50.7 0.5 52.6 1 54.7
90 0.1 49.95 0.5 51.65 1 54.85
